staged_path,original_path,sha256,purpose
code/render_figure3b_network.py,validated-release-payload/code/render_figure3b_network.py,59b18a818f4e344c76904223dfe538ac34ee0bb823e413daea21e7e1b34a5e0f,Render receptor-site co-engagement network directly from frozen node/edge/position tables; released copy documents encodings and adds explicit schema validation and portable cache paths.
config/environment.yml,validated-release-payload/config/environment.yml,1a0d049fe190de666e908d794e13ff2e195ac2039473a876ad65f47d7cae0a88,Minimal Python 3.11 dependencies for the five retained coordinate-free renderers; `nodefaults` prevents inheritance of user-configured channels.
data/dataset/construct_model_manifest.csv,validated-release-payload/data/dataset/construct_model_manifest.csv,b6354ea90797defa264dd6db0ff042aedb4aeb01c7f993c27d12d304132bbd69,"Compact exact definition of 293 constructs, 1,465 model metadata records, 1,139-model/234-AD selection, 22 composites and RMSD ranking selection."
data/dataset/inpainting_operational_ledger.csv,validated-release-payload/data/dataset/inpainting_operational_ledger.csv,738b288f0270d33126740461a679bff92f15e67dfbb34d6d73540ec53b766c31,Reduced final inpainting contact-exclusion/mask ledger; nonessential reviewer prose removed.
data/dataset/receptor_site_definitions.csv,validated-release-payload/data/dataset/receptor_site_definitions.csv,0ee0c525d22cd2a496f262fafbfe551a32574e939a2d42754a58ea630d0e79f4,Authoritative reviewed receptor-site boundaries and status.
data/dataset/threading_local_mask_residues.csv,validated-release-payload/data/dataset/threading_local_mask_residues.csv,d719cf1ead8333a6cc119cb4cbe7b6ce9a0c01b08c2c5f2ed82b6f13dbb8b661,Exact 61-residue local-threading contact mask.
data/extended_data_figure1/interpeak_interval_source_data.csv,validated-release-payload/data/extended_data_figure1/interpeak_interval_source_data.csv,35769ac4fd3e7cb80035a6f530209190b7a0ce87e88bc1c36b061e7c56cb8415,interpeak interval summary plotted interval values.
data/extended_data_figure1/q85_source_manifest.json,validated-release-payload/data/extended_data_figure1/q85_source_manifest.json,1bddae6cca927d26ed15b3c65ee9eea918290692f4425408c440ffdff9e29e29,Minimal extracted Q85 and stronger-activation thresholds required by the renderer.
data/extended_data_figure2/contact_decile_plddt_helicity.csv,validated-release-payload/data/extended_data_figure2/contact_decile_plddt_helicity.csv,68c91fea4911df316678bac1182b8e6bb0dd15d560961a15ca76b4ade6b75c9a,contact-decile pLDDT/helicity summary plotted estimates and AD-bootstrap intervals.
data/extended_data_figure2/deletion_helicity_class_summary.csv,validated-release-payload/data/extended_data_figure2/deletion_helicity_class_summary.csv,504ba971e2c99897e229d9be309f8c92adcc23b351007de05cb41af09ff5fa86,deletion-class pLDDT/helicity summary helicity class estimates and gene-bootstrap intervals.
data/extended_data_figure2/deletion_helicity_contrasts.csv,validated-release-payload/data/extended_data_figure2/deletion_helicity_contrasts.csv,bd24eeb4c38f8578aa5275579dd5e86df5996c5059f2f82b68ba64075877fbe2,deletion-class pLDDT/helicity summary helicity contrasts and bootstrap P values.
data/extended_data_figure2/deletion_plddt_class_summary.csv,validated-release-payload/data/extended_data_figure2/deletion_plddt_class_summary.csv,bbcaf5f40b0ff16df69dbcb55c065b3f9eca7e7a39c77a03af86a6e745e12030,deletion-class pLDDT/helicity summary pLDDT class estimates and gene-bootstrap intervals.
data/extended_data_figure2/deletion_plddt_contrasts.csv,validated-release-payload/data/extended_data_figure2/deletion_plddt_contrasts.csv,77b3fbfca545f41947cb7bf95fd97c6f043fdc4cba2a7c551364c7a8e393894d,deletion-class pLDDT/helicity summary pLDDT contrasts and bootstrap P values.
data/extended_data_table1/extended_data_table_1.csv,validated-release-payload/data/extended_data_table1/extended_data_table_1.csv,31795816e871aff94f10fef390cad97e7bca5d1b01f8c157ac0a58c9d34de842,Machine-readable extraction of the frozen eight-row cryo-EM reconstruction summary table.
data/figure1/final_counts_used.csv,validated-release-payload/data/figure1/final_counts_used.csv,83be36909f40001aa659d2fbe04527ef6a42f88aaeadd49beaaf147c7441de88,Final multisubunit model and recurrent-AD summary model-valency and recurrent-AD values.
data/figure2/contact_profile_source_data.csv,validated-release-payload/data/figure2/contact_profile_source_data.csv,5e5d46b387729233c07fad3ccc711621f6d8c69c6a4ca64f34c8626b10bef3a4,Final plotted deletion-centered contact profile deletion-centered contact profiles.
data/figure2/wfyl_source_data.csv,validated-release-payload/data/figure2/wfyl_source_data.csv,4a84d22013d8da2f046f58facb9028f7f8a090e349508c21811c24bc75760c65,"Exact released WFYL-zero summary WFYL-zero proportions, samples and gene-bootstrap intervals."
data/figure3/figure3b_edges.csv,validated-release-payload/data/figure3/figure3b_edges.csv,9fbacbbc3504a771f1679130561234047bf70635e8246d12267516bd5cf290e4,"All 27 nonzero plotted receptor-site edges, same-model strict co-engagement counts, fractions and the 1,139-model denominator from the single authorized final calculation."
data/figure3/figure3b_nodes.csv,validated-release-payload/data/figure3/figure3b_nodes.csv,248fc55dccb2d92913089481a17c6fa79694071d5a13f3c1751ab5fc26cfbcda,"Eight displayed receptor-site nodes with exact strict-contact mass, pair count, supporting-model and supporting-AD values used by the released receptor-site co-engagement network."
data/figure3/figure3b_positions.csv,validated-release-payload/data/figure3/figure3b_positions.csv,4c6a9a299aa2bc8dbd389866d8fb43980bc09fa998e717461e6a7c01c1255cdf,Exact projected x/y positions of the eight displayed nodes from the released final receptor-site co-engagement network calculation.
data/figure3/figure3c_reported_geometry.csv,validated-release-payload/data/figure3/figure3c_reported_geometry.csv,cef1bb1a0ba7d6fa84040c79a8ea0068b307c1b32858d395e84af35a6c50c3a4,Coordinate-free transcription of the released reported/audited MED23/MED24 geometry summary geometry values; no calculation rerun.
data/rmsd/af3_vs_8gxs_per_job.csv,validated-release-payload/data/rmsd/af3_vs_8gxs_per_job.csv,35e25d7d79ce161a66fa8ace8af0bd38249556ce8eacdfc079713ee3157f0d15,Compact reported per-job 8GXS global Kabsch RMSD source data for all 293 jobs.
data/rmsd/af3_vs_8gxs_summary.json,validated-release-payload/data/rmsd/af3_vs_8gxs_summary.json,258afedae6c2ef2fefdb829adb2b8c2470930dacdd702a6deb27241a68e06206,"Portable reported RMSD selection, atom/subunit selection, median and IQR summary."
